year,value,model,scenario,region,variable
2080,0.9824,WITCH-GLOBIOM 4.4,NPi,World,Gas
2080,-0.1709,WITCH-GLOBIOM 4.4,NPi2020_1000,World,Gas
2080,0.0922,WITCH-GLOBIOM 4.4,NPi2020_400,World,Gas
2080,-1.6083,IMAGE 3.0.1,NPi2020_1000,World,Gas
2080,-0.1702,IMAGE 3.0.1,NPi2020_400,World,Gas
2080,-1.4698,IMAGE 3.0.1,NPi,World,Gas
2080,-0.2789,REMIND-MAgPIE 1.7-3.0,NPi,World,Gas
2080,-0.8526,REMIND-MAgPIE 1.7-3.0,NPi2020_1000,World,Gas
2080,0.0799,REMIND-MAgPIE 1.7-3.0,NPi2020_400,World,Gas
2080,0.646,AIM/CGE 2.1,NPi,World,Oil
2080,0.3103,AIM/CGE 2.1,NPi2020_1000,World,Oil
2080,-0.2104,AIM/CGE 2.1,NPi2020_400,World,Oil
2080,3.1316,MESSAGEix-GLOBIOM 1.0,NPi,World,Oil
2080,-0.8047,MESSAGEix-GLOBIOM 1.0,NPi2020_1000,World,Oil
2080,-0.0935,MESSAGEix-GLOBIOM 1.0,NPi2020_400,World,Oil
2080,1.3009,WITCH-GLOBIOM 4.4,NPi,World,Oil
2080,-1.6834,WITCH-GLOBIOM 4.4,NPi2020_1000,World,Oil
2080,-0.8402,WITCH-GLOBIOM 4.4,NPi2020_400,World,Oil
2080,-0.4974,IMAGE 3.0.1,NPi2020_1000,World,Oil
2080,0.0061,IMAGE 3.0.1,NPi2020_400,World,Oil
2080,-0.4608,IMAGE 3.0.1,NPi,World,Oil
2080,-0.8827,REMIND-MAgPIE 1.7-3.0,NPi,World,Oil
2080,-1.0374,REMIND-MAgPIE 1.7-3.0,NPi2020_1000,World,Oil
2080,-0.6131,REMIND-MAgPIE 1.7-3.0,NPi2020_400,World,Oil
2090,3.2411,AIM/CGE 2.1,NPi,World,Coal
2090,0.6598,AIM/CGE 2.1,NPi2020_1000,World,Coal
2090,-0.4729,AIM/CGE 2.1,NPi2020_400,World,Coal
2090,1.7219,MESSAGEix-GLOBIOM 1.0,NPi,World,Coal
2090,-3.9181,MESSAGEix-GLOBIOM 1.0,NPi2020_1000,World,Coal
2090,-0.0013,MESSAGEix-GLOBIOM 1.0,NPi2020_400,World,Coal
2090,-0.5771,WITCH-GLOBIOM 4.4,NPi,World,Coal
2090,-0.0608,WITCH-GLOBIOM 4.4,NPi2020_1000,World,Coal
2090,0.0,WITCH-GLOBIOM 4.4,NPi2020_400,World,Coal
2090,0.6904,IMAGE 3.0.1,NPi2020_1000,World,Coal
2090,1.567,IMAGE 3.0.1,NPi2020_400,World,Coal
2090,6.7689,IMAGE 3.0.1,NPi,World,Coal
2090,-1.6624,REMIND-MAgPIE 1.7-3.0,NPi,World,Coal
2090,-0.058,REMIND-MAgPIE 1.7-3.0,NPi2020_1000,World,Coal
2090,-0.0181,REMIND-MAgPIE 1.7-3.0,NPi2020_400,World,Coal
2090,1.7513,AIM/CGE 2.1,NPi,World,Gas
2090,0.0072,AIM/CGE 2.1,NPi2020_1000,World,Gas
2090,-1.1683,AIM/CGE 2.1,NPi2020_400,World,Gas
2090,2.5948,MESSAGEix-GLOBIOM 1.0,NPi,World,Gas
2090,-3.2538,MESSAGEix-GLOBIOM 1.0,NPi2020_1000,World,Gas
2090,-0.3271,MESSAGEix-GLOBIOM 1.0,NPi2020_400,World,Gas
2090,0.1352,WITCH-GLOBIOM 4.4,NPi,World,Gas
2090,0.1209,WITCH-GLOBIOM 4.4,NPi2020_1000,World,Gas
2090,-0.142,WITCH-GLOBIOM 4.4,NPi2020_400,World,Gas
2090,-1.2148,IMAGE 3.0.1,NPi2020_1000,World,Gas
2090,-1.6931,IMAGE 3.0.1,NPi2020_400,World,Gas
2090,-3.0642,IMAGE 3.0.1,NPi,World,Gas
2090,0.9336,REMIND-MAgPIE 1.7-3.0,NPi,World,Gas
2090,-0.4461,REMIND-MAgPIE 1.7-3.0,NPi2020_1000,World,Gas
2090,-0.2697,REMIND-MAgPIE 1.7-3.0,NPi2020_400,World,Gas
2090,-2.7723,AIM/CGE 2.1,NPi,World,Oil
2090,-0.3419,AIM/CGE 2.1,NPi2020_1000,World,Oil
2090,-1.1799,AIM/CGE 2.1,NPi2020_400,World,Oil
2090,2.7309,MESSAGEix-GLOBIOM 1.0,NPi,World,Oil
2090,-0.1833,MESSAGEix-GLOBIOM 1.0,NPi2020_1000,World,Oil
2090,-0.0023,MESSAGEix-GLOBIOM 1.0,NPi2020_400,World,Oil
2090,-3.5187,WITCH-GLOBIOM 4.4,NPi,World,Oil
2090,0.5985,WITCH-GLOBIOM 4.4,NPi2020_1000,World,Oil
2090,0.6753,WITCH-GLOBIOM 4.4,NPi2020_400,World,Oil
2090,-0.107,IMAGE 3.0.1,NPi2020_1000,World,Oil
2090,0.0213,IMAGE 3.0.1,NPi2020_400,World,Oil
2090,-0.7718,IMAGE 3.0.1,NPi,World,Oil
2090,0.2645,REMIND-MAgPIE 1.7-3.0,NPi,World,Oil
2090,-0.5554,REMIND-MAgPIE 1.7-3.0,NPi2020_1000,World,Oil
2090,-0.2069,REMIND-MAgPIE 1.7-3.0,NPi2020_400,World,Oil
