year,value,model,scenario,region,variable
2010,8.798091,IMAGE 3.0.1,NPi2020_400,World,Coal
2010,22.76876,IMAGE 3.0.1,NPi2020_400,World,Gas
2010,-4.74903,IMAGE 3.0.1,NPi2020_400,World,Oil
2020,-36.9531,IMAGE 3.0.1,NPi2020_400,World,Coal
2020,-13.4992,IMAGE 3.0.1,NPi2020_400,World,Gas
2020,-27.0158,IMAGE 3.0.1,NPi2020_400,World,Oil
2030,-28.5984,IMAGE 3.0.1,NPi2020_400,World,Coal
2030,10.39569,IMAGE 3.0.1,NPi2020_400,World,Gas
2030,-21.3643,IMAGE 3.0.1,NPi2020_400,World,Oil
2040,-3.5598,IMAGE 3.0.1,NPi2020_400,World,Coal
2040,-12.7978,IMAGE 3.0.1,NPi2020_400,World,Gas
2040,-17.5399,IMAGE 3.0.1,NPi2020_400,World,Oil
2050,-3.8915,IMAGE 3.0.1,NPi2020_400,World,Coal
2050,-4.88414,IMAGE 3.0.1,NPi2020_400,World,Gas
2050,-6.84336,IMAGE 3.0.1,NPi2020_400,World,Oil
2060,5.101059,IMAGE 3.0.1,NPi2020_400,World,Coal
2060,2.840955,IMAGE 3.0.1,NPi2020_400,World,Gas
2060,-3.51387,IMAGE 3.0.1,NPi2020_400,World,Oil
2070,12.97239,IMAGE 3.0.1,NPi2020_400,World,Coal
2070,3.557656,IMAGE 3.0.1,NPi2020_400,World,Gas
2070,-1.30625,IMAGE 3.0.1,NPi2020_400,World,Oil
2080,11.89395,IMAGE 3.0.1,NPi2020_400,World,Coal
2080,-0.99986,IMAGE 3.0.1,NPi2020_400,World,Gas
2080,0.033878,IMAGE 3.0.1,NPi2020_400,World,Oil
2090,8.706415,IMAGE 3.0.1,NPi2020_400,World,Coal
2090,-9.94628,IMAGE 3.0.1,NPi2020_400,World,Gas
2090,0.118295,IMAGE 3.0.1,NPi2020_400,World,Oil
2010,3.534877,REMIND-MAgPIE 1.7-3.0,NPi,World,Coal
2010,28.11794,REMIND-MAgPIE 1.7-3.0,NPi,World,Gas
2010,12.41788,REMIND-MAgPIE 1.7-3.0,NPi,World,Oil
